Gene	CHE_AS	CHE_IF	HKG_AS	HKG_IF	IND_AS	IND_IF	SWE_AS	SWE_IF	USA_AS	USA_IF
blaVEB-14	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 
cfxA4	0 	0 	0 	0 	0 	1 	0 	0 	0 	2 
blaRSD2-1	0 	0 	0 	0 	0 	4 	0 	0 	0 	0 
aac(6')-Ib'	0 	0 	0 	1 	0 	2 	0 	0 	0 	1 
tet(G)	0 	0 	0 	2 	1 	0 	0 	1 	0 	0 
qnrVC5	0 	0 	2 	0 	0 	1 	0 	0 	0 	0 
blaVEB-13	0 	0 	1 	0 	0 	3 	0 	0 	0 	0 
blaOXA-119	0 	1 	0 	0 	0 	0 	1 	2 	0 	0 
blaOXA-1172	0 	0 	0 	0 	0 	1 	0 	0 	0 	3 
erm(T)	0 	0 	1 	1 	0 	1 	0 	0 	0 	0 
blaVEB-12	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 
aph(2'')-Ii	0 	1 	0 	1 	0 	1 	0 	0 	0 	1 
blaBES-1	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 
blaOXA-142	0 	0 	0 	1 	0 	1 	0 	0 	0 	1 
dfrA44	0 	1 	0 	0 	0 	0 	0 	1 	0 	1 
sul3	0 	1 	0 	1 	0 	2 	0 	0 	0 	0 
lsa(E)	0 	0 	0 	0 	0 	0 	0 	2 	0 	1 
blaVEB-11	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 
catB8	0 	0 	0 	0 	0 	2 	0 	0 	0 	1 
dfrA15	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 
blaRATA-2	0 	0 	1 	0 	1 	1 	1 	0 	0 	0 
blaOXA-164	0 	2 	0 	0 	0 	1 	0 	0 	0 	0 
tetA(P)	0 	0 	0 	0 	0 	2 	0 	0 	1 	0 
blaACI-1	0 	0 	0 	1 	0 	1 	0 	0 	0 	1 
blaCARB-2	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 
aac(3)-I	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-161	0 	0 	0 	0 	0 	0 	1 	0 	0 	2 
qnrB4	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 
blaOXA-11	0 	0 	0 	1 	0 	1 	0 	1 	0 	0 
blaOXA-1016	0 	0 	0 	0 	0 	0 	1 	0 	0 	1 
blaIMP-7	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 
dfrA17	0 	0 	0 	1 	0 	1 	0 	0 	0 	0 
aac(6')-Il	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 
blaCMY-107	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 
blaGES-33	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 
blaRSA1	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 
catB11	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 
blaOXA-246	0 	1 	0 	0 	0 	1 	0 	0 	0 	1 
tet(E)	0 	0 	0 	0 	0 	1 	0 	0 	1 	0 
dfrA3	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 
dfrB3	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
tet(S)	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 
estT	0 	0 	0 	0 	0 	1 	0 	1 	0 	0 
blaGES-1	0 	0 	0 	1 	0 	1 	0 	0 	0 	0 
blaOXA-4	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 
aad9	0 	0 	0 	0 	0 	0 	0 	1 	0 	1 
blaRSA1-1	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 
blaGES-20	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 
blaOXA-650	0 	2 	0 	0 	0 	0 	0 	0 	0 	1 
blaCMY-130	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 
blaOXA-1148	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 
blaVEB-15	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 
blaCMY-173	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 
fosA	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 
blaOXA-1044	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 
blaOXA-498	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 
dfrA41	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 
aac(3)-If	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 
toprJ2	0 	0 	0 	0 	1 	1 	0 	0 	0 	0 
aadA13	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 
blaVEB-16	0 	0 	0 	1 	0 	1 	0 	0 	0 	0 
blaTEM-1	0 	0 	0 	1 	0 	1 	0 	0 	0 	0 
blaSCO-1	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 
fosA9	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 
blaOXA-5	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaEBR-2	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 
blaOXA-539	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 
aac(6')-Ib4	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
ant(6)-Ib	0 	0 	1 	0 	0 	1 	0 	0 	0 	0 
blaCARB-7	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 
aadA4	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
tet(34)	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 
vanR-Sc	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 
blaMOX-22	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaEC-15	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
aph(3')-Ia	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
tet(37)	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
floR2	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 
blaEC-18	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 
blaESP-1	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-1056	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 
ant(3'')-IIc	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
cfxA5	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 
armA	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 
aac(6')-IIa	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaOXA-544	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaCARB-1	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
blaOXA-397	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 
vanR-O	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 
blaOXA-20	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-1	0 	0 	0 	1 	0 	1 	0 	0 	0 	0 
aac(3)-IId	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
dfrA31	0 	0 	1 	1 	0 	0 	0 	0 	0 	0 
blaDES-1	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-58	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
mph(F)	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
cepA	0 	0 	0 	0 	0 	0 	0 	1 	0 	1 
blaOXA-209	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
aac(6')-Ia	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaVEB-31	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaCMY-132	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaVEB-28	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
cphA3	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaEC-13	0 	0 	0 	1 	0 	1 	0 	0 	0 	0 
blaAIM-1	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaCMY-4	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-1160	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-454	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaGES-11	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaGES-8	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaVEB-7	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaMOX-24	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 
blaCMY-27	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
fosE	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaCMY-166	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
aac(6')-Ib11	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
aadA1bt	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-233	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
catA10	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-917	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 
blaOXA-651	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
qepA6	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
tet(L)	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-1011	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 
cmlB1	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
catB2	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
tetB(P)	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 
blaCMY-134	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaGES-30	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-212	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaGES-34	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaCMY-139	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaGMA-1	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
cmx	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaOXA-656	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-224	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
almF	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
mcr-3.13	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 
oqxA9	0 	1 	0 	1 	0 	0 	0 	0 	0 	0 
aac(6')-Ib-AGKT	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-240	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
oqxB15	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
arr	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
almE	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaVEB-2	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
qnrS1	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaTEM-196	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaMOX-13	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
mcr-5.1	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaLCR-1	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
cfr-Cb	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
tet(H)	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-281	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-795	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
tet(X1)	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaOXA-372	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 
tet(B)	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaOXA-21	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaVEB-19	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-415	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
blaVEB-5	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
ere(A2)	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
blaOXA-780	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
msr(I)	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 
tet(V)	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
aac(2')-Ic	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
blaOXA-32	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
dfrA48	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaEC-19	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaGES-24	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaKLUC-1	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaGES-18	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
qnrB26	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaLAQ-1	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaLHK-7	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaOXY-8-2	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaCMY-158	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
mph(B)	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
erm(A)	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaVEB-27	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaTLA-1	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaOXA-641	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 
blaRAD-1	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
blaRSC1-1	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
